epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.979,1.16279,1.90085,1.37822,0.89409,0.45051,0.46065,0.31769,1.19106,1.94976,1.63619,0.000551489,0.000551489,0.000551489
2,673.734,1.03673,1.1736,1.26365,0.38693,0.68964,0.56192,0.35823,1.09003,1.69933,1.37076,0.00107062,0.00107062,0.00107062
3,1017.62,0.96067,0.96108,1.22236,0.62094,0.90004,0.708,0.43262,1.05854,2.79157,1.5406,0.00155308,0.00155308,0.00155308
4,1341.59,0.96715,0.88129,1.21664,0.94669,0.4727,0.70854,0.47956,1.16589,0.98982,1.72375,0.00150197,0.00150197,0.00150197
5,1644.76,0.9054,0.79854,1.17957,0.8052,0.72829,0.8095,0.606,1.01626,0.72278,1.27652,0.00144696,0.00144696,0.00144696
6,1949.23,0.85756,0.7378,1.15587,0.99464,0.4722,0.56308,0.43091,0.89848,0.90855,1.18673,0.00139195,0.00139195,0.00139195
7,2252.1,0.84995,0.70377,1.14789,0.95238,0.97462,0.97786,0.77625,0.83319,0.5466,1.1432,0.00133693,0.00133693,0.00133693
8,2557.19,0.81155,0.677,1.13373,0.94669,0.97389,0.9811,0.78899,0.77938,0.47941,1.09053,0.00128192,0.00128192,0.00128192
9,2902.32,0.79267,0.65073,1.12487,0.88997,0.94684,0.95317,0.73237,0.79427,0.72401,1.12396,0.00122691,0.00122691,0.00122691
10,3208.86,0.75892,0.62406,1.11226,0.98383,0.95579,0.9757,0.81737,0.76292,0.52218,1.07544,0.0011719,0.0011719,0.0011719
11,3518.45,0.76585,0.61997,1.11906,0.95507,0.97659,0.98926,0.78706,0.78906,0.45039,1.10937,0.00111689,0.00111689,0.00111689
12,3859.83,0.74304,0.61447,1.1044,0.97076,0.9722,0.98289,0.78579,0.86864,0.48606,1.1481,0.00106188,0.00106188,0.00106188
13,4160.29,0.73931,0.57423,1.10134,0.96643,0.99293,0.98246,0.82386,0.74397,0.39341,1.05824,0.00100687,0.00100687,0.00100687
14,4460.83,0.70474,0.56438,1.08324,0.98334,0.99166,0.98928,0.81844,0.8029,0.43722,1.06327,0.000951857,0.000951857,0.000951857
15,4761.27,0.69169,0.55665,1.08145,0.95716,0.99488,0.98617,0.83239,0.80667,0.39856,1.07102,0.000896846,0.000896846,0.000896846
16,5066.16,0.68814,0.56058,1.07759,0.98151,0.9746,0.98565,0.83875,0.69846,0.41614,1.01187,0.000841835,0.000841835,0.000841835
17,5387.47,0.70017,0.562,1.08608,0.95715,0.99582,0.97392,0.81562,0.74138,0.39452,1.0461,0.000786824,0.000786824,0.000786824
18,5732.05,0.68055,0.53797,1.07582,0.95993,0.97659,0.97124,0.81248,0.77335,0.3996,1.0508,0.000731813,0.000731813,0.000731813
19,6053.46,0.68283,0.52684,1.07761,0.98507,0.99696,0.98437,0.83296,0.70943,0.34868,1.01971,0.000676802,0.000676802,0.000676802
20,6399.29,0.65778,0.50844,1.06913,0.95026,0.98346,0.98016,0.83865,0.6935,0.37417,1.0223,0.000621791,0.000621791,0.000621791
21,6734.59,0.5479,0.32212,1.08605,0.97332,0.99722,0.98795,0.83797,0.69258,0.3467,1.00086,0.00056678,0.00056678,0.00056678
22,7044.87,0.53776,0.28639,1.08941,0.97198,0.99736,0.9852,0.83071,0.73258,0.34384,1.03866,0.000511769,0.000511769,0.000511769
23,7346.26,0.52225,0.27867,1.08451,0.97394,0.96965,0.98842,0.84816,0.7427,0.36648,1.0507,0.000456758,0.000456758,0.000456758
24,7648.32,0.52031,0.26701,1.08667,0.98542,0.99573,0.9856,0.84255,0.71022,0.31993,1.00465,0.000401747,0.000401747,0.000401747
25,7952.89,0.50776,0.25268,1.08222,0.97542,0.99653,0.98458,0.85562,0.69966,0.32574,0.98859,0.000346736,0.000346736,0.000346736
26,8303.67,0.50436,0.25652,1.0758,0.98236,0.9847,0.98345,0.86868,0.66348,0.32313,0.98002,0.000291725,0.000291725,0.000291725
27,8612.76,0.49902,0.24711,1.06677,0.98491,0.98754,0.98711,0.85479,0.67328,0.30801,0.98049,0.000236714,0.000236714,0.000236714
28,8911.47,0.48885,0.24528,1.06443,0.98195,0.99698,0.98471,0.86353,0.66507,0.31021,0.9709,0.000181703,0.000181703,0.000181703
29,9269.27,0.477,0.23318,1.05982,0.98047,0.99765,0.9845,0.8575,0.65967,0.30701,0.97756,0.000126692,0.000126692,0.000126692
30,9570.57,0.47463,0.2269,1.06407,0.97971,0.99749,0.98363,0.86136,0.65894,0.30497,0.96042,7.1681e-05,7.1681e-05,7.1681e-05
